rf_weight,sage_weight,accuracy,precision,recall,f1,roc_auc
0.0,1.0,0.9205788514129444,0.6167741935483871,0.902738432483475,0.7328478344193178,0.9290091789303456
0.1,0.9,0.9206927985414768,0.6170212765957447,0.9036827195467422,0.7333333333333333,0.9404821994485522
0.2,0.8,0.9206927985414768,0.6170212765957447,0.9036827195467422,0.7333333333333333,0.9403506575808557
0.3,0.7,0.9208067456700091,0.6174193548387097,0.9036827195467422,0.7336144116519739,0.9401062344359968
0.4,0.6,0.9211485870556062,0.618463524854745,0.9046270066100094,0.7346625766871165,0.9395089731743915
0.5,0.5,0.9213764813126709,0.6205094709340301,0.8970727101038716,0.7335907335907336,0.9392939175162742
0.6,0.4,0.9221741112123975,0.6289437585733882,0.8659112370160529,0.7286452125546286,0.9391483037278476
0.7,0.3,0.9214904284412033,0.6290097629009763,0.8517469310670444,0.7236261532290413,0.9387733176315171
0.8,0.2,0.9211485870556062,0.6317300789662599,0.8309726156751652,0.7177814029363785,0.9371669772890212
0.9,0.1,0.9212625341841386,0.6346998535871157,0.8186968838526912,0.7150515463917526,0.9344562358982529
1.0,0.0,0.920123062898815,0.6310395314787701,0.8139754485363551,0.7109278350515464,0.9239629881564597
